tor, mtl, van, cgy, edm, ott, wpg, qbc, ham, kwc, ldn, hfx, osh, win, sks, stc, reg, stj, kel
   0,  541, 4405, 3419, 3395,  402, 2236,  805,   68,  108,  196, 1793,   60,  369, 2872,  112, 2663, 2681, 4089
 541,    0, 4582, 3605, 3580,  200, 2266,  263,  619,  645,  721, 1144,  494,  897, 3057,  660, 2848, 2132, 4221
4405, 4582,    0,  971, 1261, 4388, 2340, 4833, 4318, 4303, 4195, 6162, 4431, 4002, 1561, 4374, 1770, 6708,  391
3419, 3605,  971,    0,  299, 3477, 1354, 3810, 3256, 3239, 3134, 4798, 3367, 3030,  594, 3313,  784, 5686,  604
3395, 3580, 1261,  299,    0, 3419, 1304, 3816, 3310, 3293, 3188, 4812, 3421, 3084,  522, 3367,  781, 5700,  892
 402,  200, 4388, 3477, 3419,    0, 2144,  444,  469,  494,  629, 1436,  349,  805, 2894,  513, 2636, 2324, 4088
2236, 2266, 2340, 1354, 1304, 2144,    0, 2502, 2170, 2153, 2047, 3498, 2108, 1854,  786, 2226,  596, 4386, 1951
 805,  263, 4833, 3810, 3816,  444, 2502,    0,  872,  897,  987, 1020,  752, 1163, 3292,  916, 3084, 1908, 4457
  68,  619, 4318, 3256, 3310,  469, 2170,  872,    0,   66,  129, 1882,  148,  305, 2788,   55, 2531, 2770, 4025
 108,  645, 4303, 3239, 3293,  494, 2153,  897,   66,    0,   99, 1886,  152,  286, 2769,  122, 2512, 2773, 3987
 196,  721, 4195, 3134, 3188,  629, 2047,  987,  129,   99,    0, 1973,  239,  191, 2664,  184, 2406, 2860, 3901
1793, 1144, 6162, 4798, 4812, 1436, 3498, 1020, 1882, 1886, 1973,    0, 1742, 2151, 4289, 1906, 4081, 1084, 5454
  60,  494, 4431, 3367, 3421,  349, 2108,  752,  148,  152,  239, 1742,    0,  430, 2899,  171, 2641, 2625, 4136
 369,  897, 4002, 3030, 3084,  805, 1854, 1163,  305,  286,  191, 2151,  430,    0, 2561,  361, 2304, 3037, 3709
2872, 3057, 1561,  594,  522, 2894,  786, 3292, 2788, 2769, 2664, 4289, 2899, 2561,    0, 2844,  258, 5176, 1192
 112,  660, 4374, 3313, 3367,  513, 2226,  916,   55,  122,  184, 1906,  171,  361, 2844,    0, 2690, 2713, 4081
2663, 2848, 1770,  784,  781, 2636,  596, 3084, 2531, 2512, 2406, 4081, 2641, 2304,  258, 2690,    0, 4968, 1375
2681, 2132, 6708, 5686, 5700, 2324, 4386, 1908, 2770, 2773, 2860, 1084, 2625, 3037, 5176, 2713, 4968,    0, 6342
4089, 4221,  391,  604,  892, 4088, 1951, 4457, 4025, 3987, 3901, 5454, 4136, 3709, 1192, 4081, 1375, 6342,    0
